Title,Authors,Published,DOI,Published_In,Referenced_By
A Tester-Assisted Methodology for Test Redundancy Detection,"Negar, Vahid",2010-1-17,10.1155/2010/932686,Advances in Software Engineering,
"A Theoretical and Empirical Study of Search-Based Testing: Local, Global, and Hybrid Search","M., P.",2010-3,10.1109/TSE.2009.71,IEEE Transactions on Software Engineering,
A Theory of Predicate-Complete Test Coverage and Generation,Thomas,2005,10.1007/11561163_1,"Formal Methods for Components and Objects, Lecture Notes in Computer Science",
A case study of concolic testing tools and their limitations,"Qu, X. and Robinson, B.",2011-09,,2011 International Symposium on Empirical Software Engineering and Measurement,Robinson2011
A combinatorial testing strategy for concurrent programs,"Yu, Richard H., Raghu, David",2007,10.1002/stvr.369,"Software Testing, Verification and Reliability",
A comparative study of coarse- and fine-grained safe regression test-selection techniques,"John, Gregg, David S.",2001-4,10.1145/367008.367015,ACM Transactions on Software Engineering and Methodology,
A comparison of mutation analysis tools for Java,"Delahaye, M. and Bousquet, L.",2013,,2013 13th International Conference on Quality Software,Kracht2014
A comparison of some structural testing strategies,S.C.,1988-6,10.1109/32.6165,IEEE Transactions on Software Engineering,
A comprehensive framework for testing database-centric applications,"Kapfhammer, G.M.",2007,,,McMinn2019
A data flow fault coverage metric for validation of behavioral hdl descriptions,"Zhang, Q. and Harris, I.G.",2000,,IEEE/ACM International Conference on Computer Aided Design. ICCAD - 2000. IEEE/ACM Digest of Technical Papers (Cat. No.00CH37140),Zhu2018
A domain-specific language for model mutation and its application to the automated generation of exercises,"Gómez-Abajo, P. and Guerra, E. and Lara, J.",2017,,"Computer Languages, Systems & Structures",GomezAbajo2020
A dynamic test cluster sampling strategy by leveraging execution spectra information,"Yan, S. and Chen, Z. and Zhao, Z. and Zhang, C. and Zhou, Y.",2010-04,,"2010 Third International Conference on Software Testing, Verification and Validation",Bruenink2018
A fault model and mutation testing of access control policies,"Martin, E. and Xie, T.",2007,,Proceedings of the 16th international conference on World Wide Web  - WWW '07,Daoudagh2015
A fortran language system for mutation-based software testing,"K. N., A. Jefferson",1991-7,10.1002/spe.4380210704,Software: Practice and Experience,
A generic metamodel for security policies mutation,"Mouelhi, T. and Fleurey, F. and Baudry, B.",2008,,2008 IEEE International Conference on Software Testing Verification and Validation Workshop,Daoudagh2015
A gimmick to integrate software testing throughout the curriculum,Michael H.,2002,10.1145/563340.563446,Proceedings of the 33rd SIGCSE technical symposium on Computer science education  - SIGCSE '02,
A hitchhiker’s guide to statistical tests for assessing randomized algorithms in software engineering,"Arcuri, A. and Briand, L.",2014,,"Software Testing, Verification and Reliability",McMinn2019
A hybrid coverage criterion for dynamic web testing,"Zou, Y. and Fang, C. and Chen, Z. and Zhang, X. and Zhao, Z.",2013,,,Mirzaaghaei2014
A large scale evaluation of automated unit test generation using evosuite,"Fraser, G. and Arcuri, A.",2014,,ACM Transactions on Software Engineering and Methodology,Rojas2017
A logic mutation approach to selective mutation for programs and queries,"Kaminski, G. and Praphamontripong, U. and Ammann, P. and Offutt, J.",2011,,Information and Software Technology,McMinn2019
A manager’s guide to evaluating test suites,"Marick, B. and Bach, J. and Kaner, C.Cem",2000,,,Tengeri2016
A methodology for controlling the size of a test suite,"M. Jean, Rajiv, Mary Lou",1993-7,10.1145/152388.152391,ACM Transactions on Software Engineering and Methodology,
A model-based statistical usage testing of communication protocols,"M., I., I., J.",2006,10.1109/ECBS.2006.11,13th Annual IEEE International Symposium and Workshop on Engineering of Computer-Based Systems (ECBS'06),
A multi-objective approach to search-based test data generation,"Kiran, Mark, Phil",2007,10.1145/1276958.1277175,Proceedings of the 9th annual conference on Genetic and evolutionary computation  - GECCO '07,
A mutation analysis tool for Java programs,"P., P.",2002-12-17,10.1007/s10009-002-0099-9,International Journal on Software Tools for Technology Transfer,
"A mutation carol: Past, present and future","Offutt, J.",2011,,Information and Software Technology,Zhu2018
A novel approach to collaborative testing in a crowdsourcing environment,"Tung, Y.-H. and Tseng, S.-S.",2013,,,Rojas2017
A novel method of mutation clustering based on domain analysis,"Ji, C. and Chen, Z. and Xu, B. and Zhao, Z.",2009,,,Gopinath2017a
A practical guide for using statistical tests to assess randomized algorithms in software engineering,"Andrea, Lionel",2011-5-21,10.1145/1985793.1985795,Proceedings of the 33rd International Conference on Software Engineering,
A practical system for mutation testing: Help for the common programmer,"Offutt, A.",1994,,"Proceedings., International Test Conference",Holling2016
A practical tutorial on modified condition/decision coverage,"Hayhurst, K. and Veerhusen, D. and Rierson, L.",2001,,,Rajan2008
A proposal for revisiting coverage testing metrics,Breno,2014-9-15,10.1145/2642937.2653471,Proceedings of the 29th ACM/IEEE international conference on Automated software engineering,
A quality estimation of mutation clustering in c# programs,"Derezińska, A.",2013,,"New Results in Dependability and Computer Systems, Advances in Intelligent Systems and Computing",Gopinath2017a
"A safe, efficient regression test selection technique","Gregg, Mary Jean",1997-4,10.1145/248233.248262,ACM Transactions on Software Engineering and Methodology,
A specification-based coverage metric to evaluate test sets,"Amman, Paul E. and Black, Paul E.",2001,,,Harder2003
A state coverage tool for JUnit,Ken,2008,10.1145/1370175.1370210,Companion of the 13th international conference on Software engineering  - ICSE Companion '08,
A state-based approach to testing aspect-oriented programs,"Xu, D. and Xu, W. and Nygard, K.",2005-07,,,Xie2006
A static approach to prioritizing JUnit test cases,"Mei, H. and Hao, D. and Zhang, L. and Zhang, L. and Zhou, J. and Rothermel, G.",2012,,IEEE Transactions on Software Engineering,Zhang2013
A study of equivalent and stubborn mutation operators using human analysis of equivalence,"Xiangjuan, Mark, Yue",2014-5-31,10.1145/2568225.2568265,Proceedings of the 36th International Conference on Software Engineering,
A study of interleaving coverage criteria,"Lu, S. and Jiang, W. and Zhou, Y.",2007,,The 6th Joint Meeting on European software engineering conference and the ACM SIGSOFT symposium on the foundations of software engineering companion papers - ESEC-FSE companion '07,Sherman2009
A survey of combinatorial testing,"Nie, C. and Leung, H.",2011-02,,,Felbinger2017
A survey of software testing practices in Canada,"Vahid, Junji",2013-5,10.1016/j.jss.2012.12.051,Journal of Systems and Software,
A survey of software testing practices in Canada”,"Garousi, V. and Junji, Z.",2013,,Journal of Systems and Software,Parsai2016
A survey of unit testing practices,"Runeson, P.",2006-07,,IEEE Software,Gopinath2017a
A survey on code coverage as a stopping criterion for unit testing,"Smith, B. and Williams, L.A.",2008,,,Bach2017
A survey on model-based testing approaches,"Arilo C., Rajesh, Marlon, Guilherme H.",2007,10.1145/1353673.1353681,Proceedings of the 1st ACM international workshop on Empirical assessment of software engineering languages and technologies held in conjunction with the 22nd IEEE/ACM International Conference on Automated Software Engineering (ASE) 2007 - WEASELTech '07,
A survey on unit testing practices and problems,"Daka, E. and Fraser, G.",2014-11,,2014 IEEE 25th International Symposium on Software Reliability Engineering,Gopinath2017a
A systematic approach for designing mutation operators for MDE languages,"Alhwikem, F. and Paige, R.F. and Rose, L. and Alexander, R.",2016,,,GomezAbajo2020
A systematic literature review of how mutation testing supports test activities,"Zhu, Q. and Annibale, P. and Zaidman, A.",2016,10.7287/peerj.preprints.2483v1,,Zhu2018
A systematic review of state-based test tools,"Muhammad, Yvan",2013-11-8,10.1007/s10009-013-0291-0,International Journal on Software Tools for Technology Transfer,
A taxonomy of model-based testing approaches,"Mark, Alexander, Bruno",2011-4-12,10.1002/stvr.456,"Software Testing, Verification and Reliability",
A theoretical & empirical znalysis of evolutionary testing and hill climbing for structural test data generation,"Mark, Phil",2007,10.1145/1273463.1273475,Proceedings of the 2007 international symposium on Software testing and analysis - ISSTA '07,
A theoretical framework for understanding mutation-based testing methods,"Shin, D. and Bae, D.-H.",2016,,"2016 IEEE International Conference on Software Testing, Verification and Validation (ICST)",Gopinath2017a
A theory of fault-based testing,L.J.,1990,10.1109/32.57623,IEEE Transactions on Software Engineering,
A tool for domain-independent model mutation,"Gómez-Abajo, P. and Guerra, E. and Lara, J. and Merayo, M.G.",2018,,,GomezAbajo2020
ADTEST: a test data generation suite for Ada software systems,"M.J., V.",1997,10.1109/32.624304,IEEE Transactions on Software Engineering,
AN APPROACH TO TESTING BLACK-BOX COMPONENTS USING CONTRACT-BASED MUTATION,"YING, SHAN-SHAN, JIN-HUI, LU, BING",2008-2,10.1142/S0218194008003556,International Journal of Software Engineering and Knowledge Engineering,
AUSTIN: A Tool for Search Based Software Testing for the C Language and Its Evaluation on Deployed Automotive Systems,"Kiran, Mark, Hamilton",2010-9,10.1109/SSBSE.2010.21,2nd International Symposium on Search Based Software Engineering,
AUSTIN: An open source tool for search based software testing of C programs,"Kiran, Mark, Hamilton",2013-1,10.1016/j.infsof.2012.03.009,Information and Software Technology,
Achieving scalable mutation-based generation of whole test suites,"Gordon, Andrea",2014-2-9,10.1007/s10664-013-9299-z,Empirical Software Engineering,
Achieving software quality with testing coverage measures,"Horgan, J.R. and London, S. and Lyu, M.R.",1994,,Computer,Mirzaaghaei2014
"Action machines – towards a framework for model composition, exploration and conformance testing based on symbolic computation","Grieskamp, W. and Tillmann, N. and Campbell, C. and Schulte, W. and Veanes, M.",2005-09,,Fifth International Conference on Quality Software (QSIC'05),Robinson2011
Adaptive Random Testing: The ART of test case diversity,"Tsong Yueh, Fei-Ching, Robert G., T.H.",2010-1,10.1016/j.jss.2009.02.022,Journal of Systems and Software,
"Adaptive Test Case Allocation, Selection and Generation Using Coverage Spectrum and Operational Profile","Antonia, Breno, Roberto, Stefano",2021-5-1,10.1109/TSE.2019.2906187,IEEE Transactions on Software Engineering,
Adaptive random testing by balancing,"T. Y., De Hao, F.-C",2007,10.1145/1292414.1292418,Proceedings of the 2nd international workshop on Random testing co-located with the 22nd IEEE/ACM International Conference on Automated Software Engineering (ASE 2007) - RT '07,
Advances on Improving Automation in Developer Testing,"Xiao, X. and Thummalapenta, S. and Xie, T.",2012,,"Advances in Computers, Advances in Computers Volume 85",Zhi2013
Agile High Assurance: Testing re-imagined,"Binder, R.V.",2015-11,,,Tengeri2016
All-du-path coverage for parallel programs,"Yang, C.-S.D. and Souter, A.L. and Pollock, L.L.",1998,,,Sherman2009
All-uses vs mutation testing: An experimental comparison of effectiveness,"Phyllis G., Stewart N., Cang",1997-9,10.1016/S0164-1212(96)00154-9,Journal of Systems and Software,
All-uses vs mutation testing: an experimental comparison of effectiveness,"Frankl, P.G. and Weiss, S.N. and Hu, C.",1997,,Journal of Systems and Software,Zhu2018
An Analysis and Survey of the Development of Mutation Testing,"Yue, Mark",2011-9,10.1109/TSE.2010.62,IEEE Transactions on Software Engineering,
An Analysis and Survey of the Development of Mutation Testing”,"Jia, Y. and Harman, M.",2011-09,,IEEE Transactions on Software Engineering,Parsai2016
An Approach to Program Testing,J. C.,1975-9,10.1145/356651.356652,ACM Computing Surveys,
An Empirical Evaluation of Mutation Testing for Improving the Test Quality of Safety-Critical Software,"Richard, Ibrahim",2013-6,10.1109/TSE.2012.56,IEEE Transactions on Software Engineering,
An Empirical Evaluation of the First and Second Order Mutation Testing Strategies,"Mike, Nicos",2010-4,10.1109/ICSTW.2010.50,"2010 Third International Conference on Software Testing, Verification, and Validation Workshops",
An Empirical Evaluation of the First and Second Order Mutation Testing Strategies”,"Papadakis, M. and Malevris, N.",2010,,"2010 Third International Conference on Software Testing, Verification, and Validation Workshops",Parsai2016
An Empirical Evaluation of the MuJava Mutation Operators,"Ben H., Laurie",2007-9,10.1109/TAIC.PART.2007.12,Testing: Academic and Industrial Conference Practice and Research Techniques - MUTATION (TAICPART-MUTATION 2007),
An Empirical Study of JUnit Test-Suite Reduction,"Lingming, Darko, Lu, Sarfraz",2011-11,10.1109/ISSRE.2011.26,2011 IEEE 22nd International Symposium on Software Reliability Engineering,
An Empirical Study of Test Case Filtering Techniques Based on Exercising Information Flows,"Wes, Andy, David",2007-7,10.1109/TSE.2007.1020,IEEE Transactions on Software Engineering,
"An Empirical Study on Mutation, Statement and Branch Coverage Fault Revelation That Avoids the Unreliable Clean Program Assumption","Thierry Titcheu, Mike, Yves, Mark",2017-5,10.1109/ICSE.2017.61,2017 IEEE/ACM 39th International Conference on Software Engineering (ICSE),
An Empirical Study on the Scalability of Selective Mutation Testing,"Jie, Muyao, Dan, Lu",2014-11,10.1109/ISSRE.2014.27,2014 IEEE 25th International Symposium on Software Reliability Engineering,
An Environment for Training Computer Science Students on Software Testing,"J., K.",,10.1109/FIE.2005.1611937,Proceedings Frontiers in Education 35th Annual Conference,
"An Experimental Comparison of Four Unit Test Criteria: Mutation, Edge-Pair, All-Uses and Prime Path Coverage","Nan, Upsorn, Jeff",2009,10.1109/ICSTW.2009.30,"2009 International Conference on Software Testing, Verification, and Validation Workshops",
An Experimental Comparison of the Effectiveness of Control Flow Based Testing Approaches on Seeded Faults,"Atul, Pankaj",2006,10.1007/11691372_24,"Tools and Algorithms for the Construction and Analysis of Systems, Lecture Notes in Computer Science",
An Experimental Determination of Sufficient Mutant Operators,"Offutt, A.J. and Lee, A. and Rothermel, G. and Untch, R.H. and Zapf, C.",1996,,ACM Transactions on Software Engineering and Methodology,Inozemtseva2013
An Experimental Determination of Sufficient Mutation Operators,"Offutt, A.J. and Lee, A. and Rothermel, G. and Untch, R.H. and Zapf, C.",1996,,,Zhi2013
An Experimental Evaluation of Data Flow and Mutation Testing,"A. Jefferson, Jie, Kanupriya, Tong",1996-2,10.1002/(SICI)1097-024X(199602)26:2%3C165::AID-SPE5%3E3.0.CO;2-K,Software: Practice and Experience,
An Experimental Mutation System for Java,"Offutt, A.J. and Ma, Y.-S. and Kwon, Y.-R.",2004-09,,,Just2014a
"An Industrial Application of Mutation Testing: Lessons, Challenges, and Research Directions","Goran, Marko, Bob, Paul, Rene",2018-4,10.1109/ICSTW.2018.00027,"2018 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",
An Industrial Evaluation of Unit Test Generation: Finding Real Faults in a Financial Application,"M. Moein, Hadi, Gordon, Andrea, Janis",2017-5,10.1109/ICSE-SEIP.2017.27,2017 IEEE/ACM 39th International Conference on Software Engineering: Software Engineering in Practice Track (ICSE-SEIP),
An Information Retrieval Approach for Regression Test Prioritization Based on Program Changes,"Ripon K., Lingming, Sarfraz, Dewayne E.",2015-5,10.1109/ICSE.2015.47,2015 IEEE/ACM 37th IEEE International Conference on Software Engineering,
An analysis and survey of the development of mutation testing,"Jia, Y. and Harman, M.",2011,,IEEE Transactions on Software Engineering,Lindstroem2016
An analysis of the coupling effect I: Single test data,"Wah, K.S.H.T.",2003,,Science of Computer Programming,Gopinath2017a
An analysis of the coupling effect I: single test data”,"Wah, K.H.T.",2003,,Science of Computer Programming,Parsai2016
An analysis of variance test for normality (complete samples),"S. S., M. B.",1965-12-1,10.1093/biomet/52.3-4.591,Biometrika,
An approach for experimentally evaluating effectiveness and efficiency of coverage criteria for software testing,"Atul, Pankaj",2008-1-8,10.1007/s10009-007-0059-5,International Journal on Software Tools for Technology Transfer,
An assessment of operational coverage as both an adequacy and a selection criterion for operational profile based testing,"Breno, Antonia",2017-9-22,10.1007/s11219-017-9388-0,Software Quality Journal,
An empirical analysis of flaky tests,"Qingzhou, Farah, Lamyaa, Darko",2014-11-11,10.1145/2635868.2635920,Proceedings of the 22nd ACM SIGSOFT International Symposium on Foundations of Software Engineering,
An empirical analysis of the distribution of unit test smells and their impact on software maintenance,"Gabriele, Abdallah, Rocco, Andrea, David",2012-9,10.1109/ICSM.2012.6405253,2012 28th IEEE International Conference on Software Maintenance (ICSM),
An empirical comparison of automated generation and classification techniques for object-oriented unit testing,"d’Amorim, M. and Pacheco, C. and Marinov, D. and Xie, T. and Ernst, M.D.",2006-09,,21st IEEE/ACM International Conference on Automated Software Engineering (ASE'06),Robinson2011
An empirical comparison of combinatorial and random testing,"Ghandehari, L.S. and Czerwonka, J. and Lei, Y. and Shafiee, S. and Kacker, R. and Kuhn, R.",2014,,"2014 IEEE Seventh International Conference on Software Testing, Verification and Validation Workshops",Felbinger2017
An empirical comparison of data flow and mutation-based test adequacy criteria,"Aditya P., W. Eric",1994,10.1002/stvr.4370040104,"Software Testing, Verification and Reliability",
An empirical comparison of mutant selection approaches,"Gopinath, R. and Alipour, M.A. and Ahmed, I. and Jensen, C. and Groce, A.",2015,,,Gopinath2017a
An empirical evaluation of the Mu-Java mutation operators,"Smith, B. and Williams, L.",2007,,Testing: Academic and Industrial Conference Practice and Research Techniques - MUTATION (TAICPART-MUTATION 2007),McMinn2019
An empirical evaluation of the MuJava mutation operators,"Smith, B.H. and Williams, L.",2007-09,,Testing: Academic and Industrial Conference Practice and Research Techniques - MUTATION (TAICPART-MUTATION 2007),Robinson2011
An empirical evaluation of weak mutation,"A.J., S.D.",1994-5,10.1109/32.286422,IEEE Transactions on Software Engineering,
An empirical investigation into branch coverage for C programs using CUTE and AUSTIN,"Kiran, Phil, Mark",2010-12,10.1016/j.jss.2010.07.026,Journal of Systems and Software,
An empirical investigation on the readability of manual and generated test cases,"Giovanni, Simone, Harald C., Rocco",2018-5-28,10.1145/3196321.3196363,Proceedings of the 26th Conference on Program Comprehension,
An empirical study of adoption of software testing in open source projects,"Kochhar, P. and Bissyande, T. and Lo, D. and Jiang, L.",2013,,2013 13th International Conference on Quality Software,Kracht2014
An empirical study of bugs in test code,"Vahabzadeh, A. and Fard, A.M. and Mesbah, A.",2015,,2015 IEEE International Conference on Software Maintenance and Evolution (ICSME),Bowes2017
An empirical study of profiling strategies for released software and their impact on testing activities,"Elbaum, S. and Hardojo, M.",2004,,Proceedings of the 2004 ACM SIGSOFT international symposium on Software testing and analysis  - ISSTA '04,Wang2017
An empirical study of regression test selection techniques,"Graves, Todd L. and Harrold, Mary Jean and Kim, Jung-Min and Porter, Adam and Rothermel, Gregg",2001-04,,Proceedings of the 20th International Conference on Software Engineering,Harder2003
An empirical study of the robustness of Windows NT applications using random testing,"Forrester, J.E. and Miller, B.P.",2000-08,,,Robinson2011
"An empirical study on mutation, statement and branch coverage fault revelation that avoids the unreliable clean program assumption","Chekam, T.T. and Papadakis, M. and Traon, Y.L. and Harman, M.",2017,,2017 IEEE/ACM 39th International Conference on Software Engineering (ICSE),McMinn2019
An empirical study on the application of mutation testing for a safety-critical industrial software system,"Rudolf, Thomas, Claus",2017-4-3,10.1145/3019612.3019830,Proceedings of the Symposium on Applied Computing,
An empirical study on the scalability of selective mutation testing,"Zhang, J. and Zhu, M. and Hao, D. and Zhang, L.",2014,,2014 IEEE 25th International Symposium on Software Reliability Engineering,Gopinath2017a
An evaluation of exhaustive testing for data structures,"Marinov, D. and Andoni, A. and Daniliuc, D. and Khurshid, S. and Rinard, M.",2003-09,,,Robinson2011
An evaluation of random testing,"Duran, Joe W. and Ntafos, Simeon C.",1984-07,,,Harder2003
"An experimental comparison of four unit test criteria: Mutation, edge-pair, all-uses and prime path coverage","Li, N. and Praphamontripong, U. and Offutt, J.",2009,,"2009 International Conference on Software Testing, Verification, and Validation Workshops",Lindstroem2016
An experimental comparison of the effectiveness of branch testing and data flow testing,"P.G., S.N.",1993,10.1109/32.238581,IEEE Transactions on Software Engineering,
An experimental determination of sufficient mutant operators,"A. Jefferson, Ammei, Gregg, Roland H., Christian",1996-4,10.1145/227607.227610,ACM Transactions on Software Engineering and Methodology,
An experimental determination of sufficient mutation operators,"Offutt, J. and Lee, A. and Rothermel, G. and Untch, R. and Zapf, C.",1996-04,,,Lindstroem2016
An experimental evaluation of selective mutation,"A.J., G., C.",,10.1109/ICSE.1993.346062,Proceedings of 1993 15th International Conference on Software Engineering,
An experimental evaluation of web mutation operators,"Praphamontripong, U. and Offutt, J. and Deng, L. and Gu, J.",2016,,"2016 IEEE Ninth International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",McMinn2019
An extended overview of the Mothra software testing environment,"R.A., D.S., W.M., A.J., K.N.",,10.1109/WST.1988.5369,"[1988] Proceedings. Second Workshop on Software Testing, Verification, and Analysis",
An extended overview of the mothra software testing environment,"DeMillo, R.A. and Guindi, D.S. and McCracken, W.M. and Offutt, A.J. and King, K.N.",1988,,"[1988] Proceedings. Second Workshop on Software Testing, Verification, and Analysis",Lindstroem2016
An integrated automatic test data generation system,"Offutt, A.Jefferson",1991-11,,Case Technology,Harder2003
An interface test model for hardware-dependent software and embedded os api of the embedded system,"Sung, A. and Choi, B. and Shin, S.",2007,,Computer Standards & Interfaces,Zhu2018
An investigation of three forms of the modified condition decision coverage (mcdc) criterion,"Chilenski, J.",2001-04,,,Rajan2008
An orchestrated survey of methodologies for automated software test case generation,"Saswat, Edmund K., Tsong Yueh, John, Myra B., Wolfgang, Mark, Mary Jean, Phil, Antonia, J., Hong",2013-8,10.1016/j.jss.2013.02.061,Journal of Systems and Software,
Analysis of Mutation Operators for the Python Language,"Anna, Konrad",2014,10.1007/978-3-319-07013-1_15,"Proceedings of the Ninth International Conference on Dependability and Complex Systems DepCoS-RELCOMEX. June 30 – July 4, 2014, Brunów, Poland, Advances in Intelligent Systems and Computing",
Analyzing regression test selection techniques,"G., M.J.",1996,10.1109/32.536955,IEEE Transactions on Software Engineering,
Analyzing the validity of selective mutation with dominator mutants,"Bob, Paul, Jeff, Márcio E., Mariet, Nida",2016-11,10.1145/2950290.2950322,Proceedings of the 2016 24th ACM SIGSOFT International Symposium on Foundations of Software Engineering,
App testing now consumes a quarter of IT budget,"Vizard, M.",2013,,,Kracht2014
Applicability of modified condition/decision coverage to software testing,"Chilenski, J.J. and Miller, S.P.",1994-09,,Software Engineering Journal,Rajan2008
Applications of feasible path analysis to program testing,"Goldberg, A. and Wang, T.C. and Zimmerman, D.",1994,,Proceedings of the 1994 international symposium on Software testing and analysis  - ISSTA '94,McMinn2019
Applications of synchronization coverage,"Bron, A. and Farchi, E. and Magid, Y. and Nir, Y. and Ur, S.",2005,,Proceedings of the tenth ACM SIGPLAN symposium on Principles and practice of parallel programming  - PPoPP '05,Sherman2009
Applying Mutation Analysis on Kernel Test Suites: An Experience Report,"Iftekhar, Carlos, Alex, Paul E.",2017-3,10.1109/ICSTW.2017.26,"2017 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",
Applying combinatorial testing to the siemens suite,"Ghandehari, L.S.G. and Bourazjany, M.N. and Lei, Y. and Kacker, R.N. and Kuhn, D.R.",2013,,"2013 IEEE Sixth International Conference on Software Testing, Verification and Validation Workshops",Felbinger2017
Applying design of experiments to software testing: Experience report,"Dunietz, I.S. and Ehrlich, W.K. and Szablak, B.D. and Mallows, C.L. and Iannino, A.",1997,,,Felbinger2017
Applying mutation testing for assessing test suites quality at model level,"Strug, J.",2016,,Proceedings of the 2016 Federated Conference on Computer Science and Information Systems,GomezAbajo2020
Approaches to specification-based testing,"Debra J. Richardson, Owen O’Malley and Tittle., Cindy",1989-12,,"Proceedings of the ACM SIGSOFT '89 third symposium on Software testing, analysis, and verification  - TAV3",Harder2003
Approximate Transformations as Mutation Operators,"Farah, August, Owolabi, Milos, Sarfraz, Sasa",2018-4,10.1109/ICST.2018.00036,"2018 IEEE 11th International Conference on Software Testing, Verification and Validation (ICST)",
Are Mutants a Valid Substitute for Real Faults in Software Testing?,"Just, R. and Jalali, D. and Inozemtseva, L. and Ernst, M.D. and Holmes, R. and Fraser, G.",2014,,Proceedings of the 22nd ACM SIGSOFT International Symposium on Foundations of Software Engineering,Parsai2016
Are We There Yet? How Redundant and Equivalent Mutants Affect Determination of Test Completeness,"Bob, Paul, Jeff, Mariet",2016-4,10.1109/ICSTW.2016.41,"2016 IEEE Ninth International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",
Are mutants a valid substitute for real faults in software testing?,"René, Darioush, Laura, Michael D., Reid, Gordon",2014-11-11,10.1145/2635868.2635929,Proceedings of the 22nd ACM SIGSOFT International Symposium on Foundations of Software Engineering,
Are my unit tests in the right package?,"Balogh, Gergő and Gergely, Tamás and Beszédes, Árpád and Gyimóthy, Tibor",2016-10,,2016 IEEE 16th International Working Conference on Source Code Analysis and Manipulation (SCAM),Gergely2018
Are test smells really harmful? An empirical study,"Gabriele, Abdallah, Rocco, Andrea, Dave",2014-5-31,10.1007/s10664-014-9313-0,Empirical Software Engineering,
Are unit and integration test definitions still valid for modern Java projects? An empirical study on open-source projects,"Fabian, Steffen, Jens",2020-1,10.1016/j.jss.2019.110421,Journal of Systems and Software,
