Title,Abstract,Authors,Published,Published_In
A path-aware approach to mutant reduction in mutation testing,"Context: Mutation testing, which systematically generates a set of mutants by seeding various faults into the base program under test, is a popular technique for evaluating the effectiveness of a testing method. However, it normally requires the execution of a large","['C Sun', 'F Xue', 'H Liu', 'X Zhang']",2017,Information and Software Technology
A pointcut-based coverage analysis approach for aspect-oriented programs,"Aspect-oriented programming (AOP) is a promising technology that supports separation of crosscutting concerns (ie, functionality that tends to be tangled with, and scattered through the rest of the system). In AOP, a method-like construct named advice is applied to join","['OAL Lemos', 'PC Masiero']",2011,Information Sciences
A preliminary report on gamifying a software testing course with the code defenders testing game,"It is challenging to teach software testing in a way that is engaging for students, and to ensure that they practice effective testing sufficiently. Code Defenders is an educational game that is intended to address this problem: Students compete over code under test by","['G Fraser', 'A Gambi', 'JM Rojas']",2018,Proceedings of the 3rd European Conference of Software Engineering Education
A program slicing-based method for effective detection of coincidentally correct test cases,"Despite the proven applicability of the spectrum-based fault localization (SBFL) methods, their effectiveness may be degraded due to the presence of coincidental correctness, which occurs when faults fail to propagate, ie, their execution does not result in failures. This article","['F Feyzi', 'S Parsa']",2018,Computing
A proposal for revisiting coverage testing metrics,"Test coverage information can be very useful for guiding testers in enhancing their test suites to exercise possible uncovered entities and in deciding when to stop testing. Since the concept of test criterion was born, several contributions have been made by both",['B Miranda'],2014,Proceedings of the 29th ACM/IEEE international conference on Automated software engineering
A quality estimation of mutation clustering in c# programs,Mutation testing tasks are expensive in time and resources. Different cost reduction methods were developed to cope with this problem. In this chapter experimental evaluation of mutation clustering is presented. The approach was applied for object-oriented and,['A Derezińska'],2013,"New Results in Dependability and Computer Systems, Advances in Intelligent Systems and Computing"
A regression tests selection technique for aspect-oriented programs,"As the Aspect-Oriented Software Development gains popularity, there is growing interest as developing for existing object-oriented software aspects to address the crosscutting problems of those systems. Existing object-oriented regression test selection",['G Xu'],2006,Proceedings of the 2nd workshop on Testing aspect-oriented programs  - WTAOP '06
A replicated study on random test case generation and manual unit testing: How many bugs do professional developers find?,"This paper describes the replication of an empirical study comparing tool-supported test case generation and manual development of unit tests. As variation to the original study, which was based on test results from students performing manual unit testing for 60 minutes","['R Ramler', 'K Wolfmaier']",2013,2013 IEEE 37th Annual Computer Software and Applications Conference
A requirement-based systematic test-case generation method for safety-critical embedded systems,"Safety-critical systems have to be tested exhaustively to ensure that there is no erroneous behavior, because failures may have serious impact. In relevant standards requirements for the testing process are defined, for instance, the required coverage metrics (like MC/DC) or""",['S Kandl'],2010,
A scalable approach to user-session based testing of web applications through concept analysis,"The continuous use of the Web for daily operations by businesses, consumers, and government has created a great demand for reliable Web applications. One promising approach to testing the functionality of Web applications leverages user-session data","['S Sampath', 'V Mihaylov', 'A Souter']",2004,"Proceedings. 19th International Conference on Automated Software Engineering, 2004."
A search-based approach to generate mc/dc test data for ocl constraints,"Automated generation of test data is an important and challenging activity in Model-based Testing. This typically requires solving of constraints, written in Object Constraint Language (OCL), specified on models in order to obtain solutions that can be used as test data. Test","['H Sartaj', 'MZ Iqbal', 'AAA Jilani', 'MU Khan']",2019,"Search-Based Software Engineering, Lecture Notes in Computer Science"
A snowballing literature study on test amplification,"The adoption of agile approaches has put an increased emphasis on testing, resulting in extensive test suites. These suites include a large number of tests, in which developers embed knowledge about meaningful input data and expected properties as oracles. This","['B Danglot', 'O Vera-Perez', 'Z Yu', 'A Zaidman']",2019,Journal of Systems and Software
A splitting strategy for testing concurrent programs,"Reachability testing is an important approach to testing concurrent programs. It generates and exercises every partially ordered synchronization sequence automatically and on-the-fly without constructing a static model and saving any test history. However, test sequences","['X Qi', 'H Zhou']",2019,"2019 IEEE 26th International Conference on Software Analysis, Evolution and Reengineering (SANER)"
A study of bugs in test code and a test model for analyzing tests,Description Testing has become a wide-spread practice among practitioners. Test cases are written to verify that production code functions as expected and are modified alongside the production code. Over time the quality of the test code can degrade. The test code might,['A Vahabzadeh Sefiddarbon'],2016,
A study of equivalent and stubborn mutation operators using human analysis of equivalence,"Though mutation testing has been widely studied for more than thirty years, the prevalence and properties of equivalent mutants remain largely unknown. We report on the causes and prevalence of equivalent mutants and their relationship to stubborn mutants (those that","['X Yao', 'M Harman', 'Y Jia']",2014,Proceedings of the 36th International Conference on Software Engineering
A survey on data-flow testing,Data-flow testing (DFT) is a family of testing strategies designed to verify the interactions between each program variable's definition and its uses. Such a test objective of interest is referred to as a def-use pair. DFT selects test data with respect to various test adequacy,"['T Su', 'K Wu', 'W Miao', 'G Pu', 'J He', 'Y Chen']",2017,
A survey on regression test-case prioritization,"Regression testing is crucial for ensuring the quality of modern software systems, but can be extremely costly in practice. Test-case prioritization has been proposed to improve the effectiveness of regression testing by scheduling the execution order of test cases to detect","['Y Lou', 'J Chen', 'L Zhang', 'D Hao']",2019,
A survey on software testing education in brazil,"Software testing is one of the most important quality assurance activities. However, it is considered a challenge while teaching in undergraduate programs. One of the implied challenges is how to include this topic in computing undergraduate programs and in which","['LN Paschoal', 'SRS de Souza']",2018,Proceedings of the 17th Brazilian Symposium on Software Quality
A survey on unit testing practices and problems,"Unit testing is a common practice where developers write test cases together with regular code. Automation frameworks such as JUnit for Java have popularised this approach, allowing frequent and automatic execution of unit test suites. Despite the appraisals of unit","['E Daka', 'G Fraser']",2014,2014 IEEE 25th International Symposium on Software Reliability Engineering
A systematic literature review of how mutation testing supports quality assurance processes,"Mutation testing has been very actively investigated by researchers since the 1970s, and remarkable advances have been achieved in its concepts, theory, technology, and empirical evidence. While the most influential realisations have been summarised by existing","['Q Zhu', 'A Panichella', 'A Zaidman']",2018,"Software Testing, Verification and Reliability"
A systematic literature review of how mutation testing supports test activities,"Mutation testing has been very actively investigated by researchers since the 1970s and remarkable advances have been achieved in its concepts, theory, technology and empirical evidence. While the latest realisations have been summarised by existing literature review","['Q Zhu', 'A Panichella', 'A Zaidman']",2016,
A systematic literature review of techniques and metrics to reduce the cost of mutation testing,"Historically, researchers have proposed and applied many techniques to reduce the cost of mutation testing. It has become difficult to find all techniques and to understand the cost-benefit tradeoffs among them, which is critical to transitioning this technology to practice","['AV Pizzoleto', 'FC Ferrari', 'J Offutt', 'L Fernandes']",2019,
A systematic literature review of test case prioritization using genetic algorithms,Regression testing is the essential process of software maintenance and evolution phase of the software development life cycle for assuring the quality and reliability of updated software. Test case prioritization is the technique of regression testing to reduce the time and,"['A Bajaj', 'OP Sangwan']",2019,IEEE Access
A systematic literature review on modified condition and decision coverage,"One of the requirements of Modified Condition and Decision Coverage (MCDC) is that test cases should be selected to demonstrate that a condition can independently affect the outcome of a decision. However, it is known that test cases cannot be selected to satisfy this""","['TK Paul', 'MF Lau']",2014,Proceedings of the 29th Annual ACM Symposium on Applied Computing
A systematic mapping study on higher order mutation testing,"Context: Higher Order Mutants (HOMs) present some advantages concerning the First-Order Mutants (FOMs). HOMs can better simulate real and subtle faults, reduce the number of generated mutants and test cases, and so on. Objective: In order to characterize","['JA do Prado Lima', 'SR Vergilio']",2019,
A systematic review of agent-based test case generation for regression testing,There is an urgent need to create awareness about the potential benefits of using agents in software test case generation and to identify the need to develop agent-based regression testing techniques and approaches. It may help in reducing time and cost required for,"['PK Arora', 'R Bhatia']",2018,Arabian Journal for Science and Engineering
A systematic review of cost reduction techniques for mutation testing: preliminary results,"This paper reports on results from a systematic review that characterizes the state-of-the-art on cost reduction for mutation testing. It analyzes the evolution of research on this topic and its underlying goals and techniques, and identifies metrics used to measure cost reduction","['FC Ferrari', 'AV Pizzoleto', 'J Offutt']",2018,"2018 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)"
"A systematic review on test suite reduction: Approaches, experiment's quality evaluation, and guidelines","Regression testing aims at testing a system under test (SUT) in the presence of changes. As a SUT changes, the number of test cases increases to handle the modifications, and ultimately, it becomes practically impossible to execute all of them within limited testing","['SUR Khan', 'SP Lee', 'N Javaid', 'W Abdul']",2018,IEEE Access
A technique to test apis specified in natural language.,"Developers of widely used Application Programming Interfaces (APIs) implement and test APIs based on a document, which is commonly specified using natural language. How-ever, there is limited knowledge on whether API developers are able to systematically reveal i)",['FB Pontes'],2020,
A test suite reduction approach based on pairwise interaction of requirements,"Test suite reduction is one of the effective techniques to reduce the cost of regression testing. In particular, it tries to identify and remove redundant test cases according to a specific test coverage criterion. However, the excessive reduction in test cases may also","['X Chen', 'L Zhang', 'Q Gu', 'H Zhao', 'Z Wang']",2011,Proceedings of the 2011 ACM Symposium on Applied Computing - SAC '11
A test-driven approach to developing pointcut descriptors in aspectj,"Aspect-oriented programming (AOP) languages introduce new constructs that can lead to new types of faults, which must be targeted by testing techniques. In particular, AOP languages such as AspectJ use a pointcut descriptor (PCD) that provides a convenient way","['R Delamare', 'B Baudry', 'S Ghosh']",2009,2009 International Conference on Software Testing Verification and Validation
A test-suite diagnosability metric for spectrum-based fault localization approaches,"Current metrics for assessing the adequacy of a test-suite plainly focus on the number of components (be it lines, branches, paths) covered by the suite, but do not explicitly check how the tests actually exercise these components and whether they provide enough","['A Perez', 'R Abreu', 'A van Deursen']",2017,2017 IEEE/ACM 39th International Conference on Software Engineering (ICSE)
A theoretical and empirical study of diversity-aware mutation adequacy criterion,"Diversity has been widely studied in software testing as a guidance towards effective sampling of test inputs in the vast space of possible program behaviors. However, diversity has received relatively little attention in mutation testing. The traditional mutation adequacy","['D Shin', 'S Yoo', 'DH Bae']",2017,IEEE Transactions on Software Engineering
A theoretical framework for understanding mutation-based testing methods,"In the field of mutation analysis, mutation is the systematic generation of mutated programs (ie, mutants) from an original program. The concept of mutation has been widely applied to various testing problems, including test set selection, fault localization, and program repair","['D Shin', 'DH Bae']",2016,"2016 IEEE International Conference on Software Testing, Verification and Validation (ICST)"
A theory of predicate-complete test coverage and generation,"Consider a program with m statements and n predicates, where the predicates are derived from the conditional statements and assertions in a program. An observable state is an evaluation of the n predicates under some state at a program statement. The goal of",['T Ball'],2004,"Formal Methods for Components and Objects, Lecture Notes in Computer Science"
A unified test case prioritization approach,Test case prioritization techniques attempt to reorder test cases in a manner that increases the rate at which faults are detected during regression testing. Coverage-based test case prioritization techniques typically use one of two overall strategies: a total strategy or an,"['D Hao', 'L Zhang', 'L Zhang', 'G Rothermel']",2014,
A “strength of decision tree equivalence”-taxonomy and its impact on test suite reduction,"Being able to reduce test suites without having to execute them for assessing the effects on their fault detection capabilities is quite appealing. In this direction, we proposed recently to characterize test suites via inferred decision trees and use these for comparisons in a","['H Felbinger', 'I Pill', 'F Wotawa']",2017,"Testing Software and Systems, Lecture Notes in Computer Science"
AMOGA: A static-dynamic model generation strategy for mobile apps testing,"In the past few years, mobile devices have been increasingly replacing traditional computers, as their capabilities, such as CPU computation, memory, RAM size, and many more, are being enhanced almost to the level of conventional computers. These capabilities","['IA Salihu', 'R Ibrahim', 'BS Ahmed', 'KZ Zamli']",2019,IEEE Access
AOP-based testability improvement for component-based software,"High evolvability is the remarkable character of component-based software (CBS), and brings great pressure to the testing activity. Recently, aspect-oriented programming has been proposed as an effective technique for modulating separate concerns, and facilitating",['C Mao'],2007,31st Annual International Computer Software and Applications Conference - Vol. 2 - (COMPSAC 2007)
APTE: Automated pointcut testing for AspectJ programs,"Aspect-Oriented Programming (AOP) has been proposed as a methodology that provides new modularization of software systems by allowing encapsulation of cross-cutting concerns. AspectJ, an aspect-oriented programming language, provides two major","['P Anbalagan', 'T Xie']",2006,
AURORA: automatic robustness coverage analysis tool,"Code coverage is usually used as a measurement of testing quality and as adequacy criterion. Unfortunately, code coverage is very sensitive to modifications of the code structure, and, therefore, we can achieve the same degree of coverage with different testing","['A Gargantini', 'M Guarnieri']",2013,"2013 IEEE Sixth International Conference on Software Testing, Verification and Validation"
Abstract test case generation for behavioural testing of software product lines,"In Model Based Testing (MBT), test cases are generated automatically from a partial representation of expected behaviour of the System Under Test (SUT)(ie, the model). For most industrial systems, it is impossible to generate all the possible test cases from the","['X Devroey', 'G Perrouin', 'PY Schobbens']",2014,"Proceedings of the 18th International Software Product Line Conference on Companion Volume for Workshops, Demonstrations and Tools - SPLC '14"
Access control policy coverage assessment through monitoring,Testing access control policies relies on their execution on a security engine and the evaluation of the correct responses. Coverage measures can be adopted to know which parts of the policy are most exercised. This paper proposes an access control infrastructure,"['A Calabrò', 'F Lonetti', 'E Marchetti']",2017,"Lecture Notes in Computer Science, Computer Safety, Reliability, and Security"
"Achievements, open problems and challenges for search based software testing","Search Based Software Testing (SBST) formulates testing as an optimisation problem, which can be attacked using computational search techniques from the field of Search Based Software Engineering (SBSE). We present an analysis of the SBST research agenda","['M Harman', 'Y Jia', 'Y Zhang']",2015,"2015 IEEE 8th International Conference on Software Testing, Verification and Validation (ICST)"
Achieving scalable mutation-based generation of whole test suites,"Without complete formal specification, automatically generated software tests need to be manually checked in order to detect faults. This makes it desirable to produce the strongest possible test set while keeping the number of tests as small as possible. As commonly","['G Fraser', 'A Arcuri']",2015,Empirical Software Engineering
Adapting automated test generation to GUI testing of industry applications,"Context Automated test generation promises to improve the effectiveness of software testing and to reduce the involved manual effort. While automated test generation has been successfully applied for code-level API testing, it has not found widespread adoption in","['R Ramler', 'G Buchgeher', 'C Klammer']",2018,Information and Software Technology
Adapting unit tests by generating combinatorial test data,Conventional unit tests are still mainly handcrafted. Generalizing conventional unit tests to parameterized unit tests supports automatic test data generation. Methods that were introduced to instantiate parameterized unit tests with concrete values as test data are based,"['H Felbinger', 'F Wotawa', 'M Nica']",2018,"2018 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)"
Adaptive coverage and operational profile-based testing for reliability improvement,"We introduce covrel, an adaptive software testing approach based on the combined use of operational profile and coverage spectrum, with the ultimate goal of improving the delivered reliability of the program under test. Operational profile-based testing is a black-box","['A Bertolino', 'B Miranda', 'R Pietrantuono']",2017,2017 IEEE/ACM 39th International Conference on Software Engineering (ICSE)
Adaptive random testing based on flexible partitioning,"Adaptive random testing (ART) achieves better failure-detection effectiveness than random testing due to its even spreading of test cases. ART by random partitioning (RP-ART) is a lightweight method, but its advantage over random testing is relatively low. Although iterative","['C Mao', 'X Zhan', 'J Chen', 'J Chen', 'R Huang']",2020,
"Adaptive test case allocation, selection and generation using coverage spectrum and operational profile","We present an adaptive software testing strategy for test case allocation, selection and generation, based on the combined use of operational profile and coverage spectrum, aimed at achieving high delivered reliability of the program under test. Operational profile","['A Bertolino', 'B Miranda', 'R Pietrantuono']",2019,IEEE Transactions on Software Engineering
Adaptive test-case prioritization guided by output inspection,"Test-case prioritization is to schedule the execution order of test cases so as to maximize some objective (eg, revealing faults early). The existing test-case prioritization approaches separate the process of test-case prioritization and the process of test-case execution by","['D Hao', 'X Zhao', 'L Zhang']",2013,2013 IEEE 37th Annual Computer Software and Applications Conference
Adequate system-level testing of distributed systems,"Software testing is about risk management. Typically, engineers use test adequacy criteria to balance the cost and efficacy of the testing activity. Test adequacy criteria are rules that provide an objective stopping condition on test input creation by defining a finite set of test",['MJ Rutherford'],2006,
Advances in combinatorial testing,"Since their introduction into software testing in the mid-1980s, combinatorial methods for test design gathered popularity as a testing best practice and as a prominent software testing research area. This chapter reviews recent advances in combinatorial testing, with special",['R Tzoref-Brill'],2019,Advances in Computers
Advances in noise‐based testing of concurrent software,"Testing of concurrent software written in programming languages like Java and C/C++ is a highly challenging task owing to the many possible interactions among threads. A simple, cheap, and effective approach that addresses this challenge is testing with noise injection","['J Fiedor', 'V Hrubá', 'B Křena', 'Z Letko']",2015,"Software Testing, Verification and Reliability"
Advances in testing javascript-based web applications,"JavaScript is a flexible and expressive prototype-based scripting language that is used by developers to create interactive web applications. The language is interpreted, dynamic, weakly typed, and has first-class functions. It also interacts extensively with other web",['A Mesbah'],2015,Advances in Computers
Advances in the characterization of cognitive support for unit testing: The bug-hunting game and the visualization arsenal,"In the previous edition of ISSRE we used a straightforward hunting metaphor to call the attention of the research community to the importance of considering human aspects in software testing-in particular, to research challenges that affect practitioners in the industry","['MP Prado', 'AMR Vincenzi']",2016,2016 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW)
Advancing energy testing of mobile applications,"The rising popularity of mobile apps deployed on battery-constrained devices has motivated the need for effective energy-aware testing techniques. However, currently there is a lack of test generation tools for exercising the energy properties of apps. Automated test generation","['R Jabbarvand', 'S Malek']",2017,2017 IEEE/ACM 39th International Conference on Software Engineering Companion (ICSE-C)
Alleviating patch overfitting with automatic test generation: a study of feasibility and effectiveness for the Nopol repair system,"Among the many different kinds of program repair techniques, one widely studied family of techniques is called test suite based repair. However, test suites are in essence input-output specifications and are thus typically inadequate for completely specifying the expected","['Z Yu', 'M Martinez', 'B Danglot', 'T Durieux']",2019,Empirical Software Engineering
An analysis of Mutation testing and Code coverage during progress of projects,"In order to deliver high quality software projects, a developing team probably needs a well-developed test suite. There are several methods that aim to evaluate test suites in some way, such as Code coverage and Mutation testing. Code coverage describes the degree of",['O Alfsson'],2017,
An analysis of the effectiveness of different coverage criteria for testing relational database schema integrity constraints,"Despite industry advice to the contrary, there has been little work that has sought to test that a relational database's schema has correctly specified integrity constraints. These critically important constraints ensure the coherence of data in a database, defending it from","['P McMinn', 'CJ Wright', 'GM Kapfhammer']",2015,
An approach and tool for measurement of state variable based data-flow test coverage for aspect-oriented programs,"Context Data-flow testing approaches have been used for procedural and object-oriented programs, and shown to be effective in detecting faults. However, few such approaches have been evaluated for aspect-oriented programs. In such programs, data-flow interactions","['F Wedyan', 'S Ghosh', 'LR Vijayasarathy']",2015,Information and Software Technology
An approach for clustering test data,"The existing test techniques and criteria are considered complementary because they can reveal different kinds of faults and test specific aspects of the program. The functional criteria, such as Category Partition, are difficult to be automated, and are usually manually","['AR Lenz', 'A Pozo', 'SR Vergilio']",2011,2011 12th Latin American Test Workshop (LATW)
An approach for testing pointcut descriptors in aspectj,Aspect‐oriented programming (AOP) promises better software quality through enhanced modularity. Crosscutting concerns are encapsulated in separate units called aspects and are introduced at specific points in the base program at compile time or runtime. However,"['R Delamare', 'B Baudry', 'S Ghosh']",2011,
An approach for the generation of higher order mutants using genetic algorithms,"Mutation testing is a structural testing technique in which the effectiveness of a test suite is measured by the suite ability to detect seeded faults. One fault is seeded into a copy of the program, called mutant, leading to a large number of mutants with a high cost of compiling","['A Abuljadayel', 'F Wedyan']",2018,International Journal of Intelligent Systems and Applications
An assessment of operational coverage as both an adequacy and a selection criterion for operational profile based testing,"While the relation between code coverage measures and fault detection is actively studied, only few works have investigated the correlation between measures of coverage and of reliability. In this work, we introduce a novel approach to measuring code coverage, called","['B Miranda', 'A Bertolino']",2018,Software Quality Journal
