BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5,DOI
6,9781450302401,Aaltonen2010,"Aaltonen, Kalle; Ihantola, Petri; Sepp\""{a}l\""{a}, Otto",Mutation Analysis vs. Code Coverage in Automated Assessment of Students' Testing Skills,,,,,153–160,2010,"New York, NY, USA",,https://doi.org/10.1145/1869542.1869567,Proceedings of the ACM International Conference Companion on Object Oriented Programming Systems Languages and Applications Companion,,,OOPSLA '10,,Association for Computing Machinery,,,,,,,"Learning to program should include learning about proper software testing. Some automatic assessment systems, e.g. Web-CAT, allow assessing student-generated test suites using coverage metrics. While this encourages testing, we have observed that sometimes students can get rewarded from high coverage although their tests are of poor quality. Exploring alternative methods of assessment, we have tested mutation analysis to evaluate students' solutions. Initial results from applying mutation analysis to real course submissions indicate that mutation analysis could be used to fix some problems of code coverage in the assessment. Combining both metrics is likely to give more accurate feedback.",,"programming assignments, mutation testing, test coverage, mutation analysis, automated assessment",,,10.1145/1869542.1869567
6,9781605588230,Dobolyi2010,"Dobolyi, Kinga; Weimer, Westley",Modeling Consumer-Perceived Web Application Fault Severities for Testing,,,,,97–106,2010,"New York, NY, USA",,https://doi.org/10.1145/1831708.1831720,Proceedings of the 19th International Symposium on Software Testing and Analysis,,,ISSTA '10,,Association for Computing Machinery,,,,,,,"Despite the growing usage of web applications, extreme resource constraints during their development frequently leave them inadequately tested. Because testing may be perceived as having a low return on investment for web applications, we believe that providing a consumer-perceived fault severity model could allow developers to prioritize faults according to their likelihood of impacting consumer retention, encouraging web application developers to test more effectively. In a study involving 386 humans and 800 web application faults, we observe that an arbitrary human judgment of fault severity is unreliable. We thus present two models of fault severity that outperform individual humans in terms of correctly predicting the average consumer-perceived severity of web application faults. Our first model uses human annotations of fault surface features, and is 87% accurate at identifying low-priority, non-severe faults. We also present a fully automated conservative model that correctly identifies 55% of non-severe faults without missing any severe faults. Both models outperform humans at flagging severe faults, and can substitute or reinforce humans by prioritizing faults encountered in web application development and testing.",,"fault, web application, severity",,,10.1145/1831708.1831720
7,,Popovic2010,"Popovic, M.; Basicevic, I.",Test case generation for the task tree type of architecture,Information and Software Technology,52,6,,697-706,2010,,cited By 7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950458077&doi=10.1016%2fj.infsof.2010.03.001&partnerID=40&md5=43e01c9367f30a797b20115200a96cd4,,,,,,,,,,,,,"Context: Emerging multicores and clusters of multicores that may operate in parallel have set a new challenge - development of massively parallel software composed of thousands of loosely coupled or even completely independent threads/processes, such as MapReduce and Java 3.0 workers, or Erlang processes, respectively. Testing and verification is a critical phase in the development of such software products. Objective: Generating test cases based on operational profiles and certifying declared operational reliability figure of the given software product is a well-established process for the sequential type of software. This paper proposes an adaptation of that process for a class of massively parallel software - large-scale task trees. Method: The proposed method uses statistical usage testing and operational reliability estimation based on operational profiles and novel test suite quality indicators, namely the percentage of different task trees and the percentage of different paths. Results: As an example, the proposed method is applied to operational reliability certification of a parallel software infrastructure named the TaskTreeExecutor. The paper proposes an algorithm for generating random task trees to enable that application. Test runs in the experiments involved hundreds and thousands of Win32/Linux threads thus demonstrating scalability of the proposed approach. For practitioners, the most useful result presented is the method for determining the number of task trees and the number of paths, which are needed to certify the given operational reliability of a software product. The practitioners may also use the proposed coverage metrics to measure the quality of automatically generated test suite. Conclusion: This paper provides a useful solution for the test case generation that enables the operational reliability certification process for a class of massively parallel software called the large-scale task trees. The usefulness of this solution was demonstrated by a case study - operational reliability certification of the real parallel software product. © 2010 Elsevier B.V. All rights reserved.",,"Automatically generated; Certification process; Coverage metrics; Erlang process; Operational profile; Operational reliability; Parallel software; Quality indicators; Software products; Statistical usage testing; Task tree; Test case; Test case generation; Test runs, Automatic test pattern generation; Computer software selection and evaluation; Quality assurance; Testing; Trees (mathematics); Verification, Software reliability",,,10.1016/j.infsof.2010.03.001
10,,Dulz2011,"Dulz, W.",A comfortable TestPlayer for analyzing statistical usage testing strategies,Proceedings - International Conference on Software Engineering,,,,36-42,2011,,cited By 4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959443087&doi=10.1145%2f1982595.1982604&partnerID=40&md5=6f14247b755c8a92a95da75662293727,,,,,,,,,,,,,"We will first give a brief introduction to a versatile modeling environment that allows the early validation of system specifications by a test-driven agile simulation approach. The main focus of our paper is on providing techniques for automated test case generation relying on statistical usage models. Based on the open source software R for statistical computing and graphics the easy to handle test case generation and analyzing TestPlayer© tool was developped. Starting from customer-specific graphical Markov chain usage models test cases are automatically generated and visualized by highlighting selected nodes and arcs in the model. In addition, various metrics and corresponding diagrams offer analytical techniques to assess the quality of the derived test suite. © 2011 ACM.",,"Automated test case generation; Graphical test; Markov Chain; Model-driven; Modeling environments; Open Source Software; Simulation approach; Statistical computing; Statistical usage testing; System specification; Test case generation; testplayer tool; Usage models, Computer software selection and evaluation; Health care; Markov processes; Open systems; Software engineering; Specifications; Testing, Software testing",,,10.1145/1982595.1982604
6,9781457716386,Robinson2011,"Robinson, Brian; Ernst, Michael D.; Perkins, Jeff H.; Augustine, Vinay; Li, Nuo",Scaling up Automated Test Generation: Automatically Generating Maintainable Regression Unit Tests for Programs,,,,,23–32,2011,USA,,https://doi.org/10.1109/ASE.2011.6100059,Proceedings of the 2011 26th IEEE/ACM International Conference on Automated Software Engineering,,,ASE '11,,IEEE Computer Society,,,,,,,"This paper presents an automatic technique for generating maintainable regression unit tests for programs. We found previous test generation techniques inadequate for two main reasons. First. they were designed for and evaluated upon libraries rather than applications. Second, they were designed to find bugs rather than to create maintainable regression test suites: the test suites that they generated were brittle and hard to understand. This paper presents a suite of techniques that address these problems by enhancing an existing unit test generation system. In experiments using an industrial system, the generated tests achieved good coverage and mutation kill score, were readable by the product's developers, and required few edits as the system under test evolved. While our evaluation is in the context of one test generator, we are aware of many research systems that suffer similar limitations, so our approach and observations are more generally relevant.",,,,,10.1109/ASE.2011.6100059
10,,Schuler2011,"Schuler, D.; Zeller, A.",Assessing oracle quality with checked coverage,"Proceedings - 4th IEEE International Conference on Software Testing, Verification, and Validation, ICST 2011",,,,90-99,2011,,cited By 44,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79958743339&doi=10.1109%2fICST.2011.32&partnerID=40&md5=a3e9f7781fffc1efe9a94d69fe4a1d39,,,,,,,,,,,,,"A known problem of traditional coverage metrics is that they do not assess oracle quality - that is, whether the computation result is actually checked against expectations. In this paper, we introduce the concept of checked coverage - the dynamic slice of covered statements that actually influence an oracle. Our experiments on seven open-source projects show that checked coverage is a sure indicator for oracle quality - and even more sensitive than mutation testing, its much more demanding alternative. © 2011 IEEE.",,"Coverage metrics; dynamic slicing; Mutation testing; Open source projects; test suite quality, Computer software selection and evaluation; Verification, Software testing",,,10.1109/ICST.2011.32
6,9781450312042,Gopinath2012,"Gopinath, Divya; Zaeem, Razieh Nokhbeh; Khurshid, Sarfraz",Improving the Effectiveness of Spectra-Based Fault Localization Using Specifications,,,,,40–49,2012,"New York, NY, USA",,https://doi.org/10.1145/2351676.2351683,Proceedings of the 27th IEEE/ACM International Conference on Automated Software Engineering,,,ASE 2012,,Association for Computing Machinery,,,,,,,"Fault localization i.e., locating faulty lines of code, is a key step in removing bugs and often requires substantial manual effort. Recent years have seen many automated localization techniques, specifically using the program’s passing and failing test runs, i.e., test spectra. However, the effectiveness of these approaches is sensitive to factors such as the type and number of faults, and the quality of the test-suite. This paper presents a novel technique that applies spectra-based localization in synergy with specification-based analysis to more accurately locate faults. Our insight is that unsatisfiability analysis of violated specifications, enabled by SAT technology, could be used to (1) compute unsatisfiable cores that contain likely faulty statements and (2) generate tests that help spectra-based localization. Our technique is iterative and driven by a feedback loop that enables more precise fault localization. SAT-TAR is a framework that embodies our technique for Java programs, including those with multiple faults. An experimental evaluation using a suite of widely-studied data structure programs, including the ANTLR and JTopas parser applications, shows that our technique localizes faults more accurately than state-of-the-art approaches.",,"Tarantula, Automated Debugging, Alloy, Minimal UNSAT cores, Kodkod, Fault Localization",,,10.1145/2351676.2351683
6,9781450314541,Li2012,"Li, Kaituo; Reichenbach, Christoph; Csallner, Christoph; Smaragdakis, Yannis",Residual Investigation: Predictive and Precise Bug Detection,,,,,298–308,2012,"New York, NY, USA",,https://doi.org/10.1145/2338965.2336789,Proceedings of the 2012 International Symposium on Software Testing and Analysis,,,ISSTA 2012,,Association for Computing Machinery,,,,,,,"We introduce the concept of “residual investigation” for program analysis. A residual investigation is a dynamic check installed as a result of running a static analysis that reports a possible program error. The purpose is to observe conditions that indicate whether the statically predicted program fault is likely to be realizable and relevant. The key feature of a residual investigation is that it has to be much more precise (i.e., with fewer false warnings) than the static analysis alone, yet significantly more general (i.e., reporting more errors) than the dynamic tests in the program's test suite pertinent to the statically reported error. That is, good residual investigations encode dynamic conditions that, when taken in conjunction with the static error report, increase confidence in the existence of an error, as well as its severity, without needing to directly observe a fault resulting from the error.  We enhance the static analyzer FindBugs with several residual investigations, appropriately tuned to the static error patterns in FindBugs, and apply it to 7 large open-source systems and their native test suites. The result is an analysis with a low occurrence of false warnings (“false positives”) while reporting several actual errors that would not have been detected by mere execution of a program's test suite.",,,,,10.1145/2338965.2336789
6,9781450318037,Selim2012,"Selim, Gehan M. K.; Cordy, James R.; Dingel, Juergen",Model Transformation Testing: The State of the Art,,,,,21–26,2012,"New York, NY, USA",,https://doi.org/10.1145/2432497.2432502,Proceedings of the First Workshop on the Analysis of Model Transformations,,,AMT '12,,Association for Computing Machinery,,,,,,,"Model Driven Development (MDD) is a software engineering approach in which models constitute the basic units of software development. A key part of MDD is the notion of automated model transformation, in which models are stepwise refined into more detailed models, and eventually into code. The correctness of transformations is essential to the success of MDD, and while much research has concentrated on formal verification, testing remains the most efficient method of validation. Transformation testing is however different from testing code, and presents new challenges. In this paper, we survey the model transformation testing phases and the approaches proposed in the literature for each phase.",,"model driven development, test case generation, model transformation testing, contracts, mutation analysis",,,10.1145/2432497.2432502
7,,Shahriar2012,"Shahriar, Hossain; Zulkernine, Mohammad",Mitigating Program Security Vulnerabilities: Approaches and Challenges,ACM Comput. Surv.,44,3,June,,2012,"New York, NY, USA",,https://doi.org/10.1145/2187671.2187673,,,,,,Association for Computing Machinery,,,,,,,"Programs are implemented in a variety of languages and contain serious vulnerabilities which might be exploited to cause security breaches. These vulnerabilities have been exploited in real life and caused damages to related stakeholders such as program users. As many security vulnerabilities belong to program code, many techniques have been applied to mitigate these vulnerabilities before program deployment. Unfortunately, there is no comprehensive comparative analysis of different vulnerability mitigation works. As a result, there exists an obscure mapping between the techniques, the addressed vulnerabilities, and the limitations of different approaches. This article attempts to address these issues. The work extensively compares and contrasts the existing program security vulnerability mitigation techniques, namely testing, static analysis, and hybrid analysis. We also discuss three other approaches employed to mitigate the most common program security vulnerabilities: secure programming, program transformation, and patching. The survey provides a comprehensive understanding of the current program security vulnerability mitigation approaches and challenges as well as their key characteristics and limitations. Moreover, our discussion highlights the open issues and future research directions in the area of program security vulnerability mitigation.",,"secure programming, program transformation, vulnerability testing, static analysis, Program security vulnerability mitigation, patching, hybrid analysis",,,10.1145/2187671.2187673
6,9781450314541,Zhang2012,"Zhang, Lingming; Marinov, Darko; Zhang, Lu; Khurshid, Sarfraz",Regression Mutation Testing,,,,,331–341,2012,"New York, NY, USA",,https://doi.org/10.1145/2338965.2336793,Proceedings of the 2012 International Symposium on Software Testing and Analysis,,,ISSTA 2012,,Association for Computing Machinery,,,,,,,"Mutation testing is one of the most powerful approaches for evaluating quality of test suites. However, mutation testing is also one of the most expensive testing approaches. This paper presents Regression Mutation Testing (ReMT), a new technique to speed up mutation testing for evolving systems. The key novelty of ReMT is to incrementally calculate mutation testing results for the new program version based on the results from the old program version; ReMT uses a static analysis to check which results can be safely reused. ReMT also employs a mutation-specific test prioritization to further speed up mutation testing. We present an empirical study on six evolving systems, whose sizes range from 3.9KLoC to 88.8KLoC. The empirical results show that ReMT can substantially reduce mutation testing costs, indicating a promising future for applying mutation testing on evolving software systems.",,,,,10.1145/2338965.2336793
6,9781450321594,Gligoric2013,"Gligoric, Milos; Groce, Alex; Zhang, Chaoqiang; Sharma, Rohan; Alipour, Mohammad Amin; Marinov, Darko",Comparing Non-Adequate Test Suites Using Coverage Criteria,,,,,302–313,2013,"New York, NY, USA",,https://doi.org/10.1145/2483760.2483769,Proceedings of the 2013 International Symposium on Software Testing and Analysis,,,ISSTA 2013,,Association for Computing Machinery,,,,,,,"A fundamental question in software testing research is how to compare test suites, often as a means for comparing test-generation techniques. Researchers frequently compare test suites by measuring their coverage. A coverage criterion C provides a set of test requirements and measures how many requirements a given suite satisfies. A suite that satisfies 100% of the (feasible) requirements is C-adequate.  Previous rigorous evaluations of coverage criteria mostly focused on such adequate test suites: given criteria C and C′, are C-adequate suites (on average) more effective than C′-adequate suites? However, in many realistic cases producing adequate suites is impractical or even impossible. We present the first extensive study that evaluates coverage criteria for the common case of non-adequate test suites: given criteria C and C′, which one is better to use to compare test suites? Namely, if suites T1, T2 . . . Tn have coverage values c1, c2 . . . cn for C and c′1, c′2 . . . c′n for C′, is it better to compare suites based on c1, c2 . . . cn or based on c′1, c′ 2 . . . c′n?  We evaluate a large set of plausible criteria, including statement and branch coverage, as well as stronger criteria used in recent studies. Two criteria perform best: branch coverage and an intra-procedural acyclic path coverage.",,"non-adequate test suites, Coverage criteria",,,10.1145/2483760.2483769
10,,Inozemtseva2013,"Inozemtseva, L.; Hemmati, H.; Holmes, R.",Using fault history to improve mutation reduction,"2013 9th Joint Meeting of the European Software Engineering Conference and the ACM SIGSOFT Symposium on the Foundations of Software Engineering, ESEC/FSE 2013 - Proceedings",,,,639-642,2013,,cited By 8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883722857&doi=10.1145%2f2491411.2494586&partnerID=40&md5=4445c5597ca0ac7d8c98983944c2f41b,,,,,,,,,,,,,"Mutation testing can be used to measure test suite quality in two ways: by treating the kill score as a quality metric, or by treating each surviving, non-equivalent mutant as an indicator of an inadequacy in the test suite. The first technique relies on the assumption that the mutation score is highly correlated with the suite's real fault detection rate, which is not well supported by the literature. The second technique relies only on the weaker assumption that the ""interesting"" mutants (i.e., the ones that indicate an inadequacy in the suite) are in the set of surviving mutants. Using the second technique also makes improving the suite straightforward. Unfortunately, mutation testing has a performance problem. At least part of the test suite must be run on every mutant, meaning mutation testing can be too slow for practical use. Previous work has addressed this by reducing the number of mutants to evaluate in various ways, including selecting a random subset of them. However, reducing the set of mutants by random reduction is suboptimal for developers using the second technique described above, since random reduction will eliminate many of the interesting mutants. We propose a new reduction method that supports the use of the second technique by reducing the set of mutants to those generated by altering files that have contained many faults in the past. We performed a pilot study that suggests that this reduction method preferentially chooses mutants that will survive mutation testing; that is, it preserves a greater number of interesting mutants than random reduction does.",,"Fault detection rate; Highly-correlated; Mutation score; Mutation testing; Performance problems; Quality metrices; Random subsets; Reduction method, Fault detection; Software testing, Software engineering",,,10.1145/2491411.2494586
6,9781467361613,Jehan2013,"Jehan, Seema; Pill, Ingo; Wotawa, Franz",Functional SOA Testing Based on Constraints,,,,,33–39,2013,"San Francisco, California",,,Proceedings of the 8th International Workshop on Automation of Software Test,,,AST '13,,IEEE Press,,,,,,,"In the fierce competition on today's software market, Service-Oriented Architectures (SOAs) are an established design paradigm. Essential concepts like modularization, reuse, and the corresponding IP core business are inherently supported in the development and operation of SOAs that offer flexibility in many aspects and thus optimal conditions also for heterogeneous system developments. The intrinsics of large and complex SOA enterprises, however, require us to adopt and evolve our verification technology, in order to achieve expected software quality levels. In this paper, we contribute to this challenge by proposing a constraint based testing approach for SOAs. In our work, we augment a SOA's BPEL business model with pre- and postcondition contracts defining essential component traits, and derive a suite of feasible test cases to be executed after assessing its quality via corresponding coverage criteria. We illustrate our approach's viability via a running example as well as experimental results, and discuss current and envisioned automation levels in the context of a test and diagnosis workflow.",,,,,10.1109/iwast.2013.6595788
